COD_ESC;ZONA;MUN;ED_INFANTIL;CLASSES ESPECIAIS;SALA DE RECURSO;ANOS INICIAIS;ANOS FINAIS;ENSINO M�DIO;EJA FUNDAMENTAL_AI;EJA FUNDAMENTAL_AF;EJA ENSINO MEDIO;
279;1;SAO PAULO;0;14;0;1058;0;0;0;0;0;
346;1;SAO PAULO;0;0;0;648;0;0;0;0;0;
565;1;SAO PAULO;0;14;0;481;0;0;0;0;0;
644;1;SAO PAULO;0;0;0;264;0;0;0;0;0;
36444;1;SAO PAULO;0;0;0;716;422;338;0;0;0;
36456;1;SAO PAULO;0;0;0;0;354;331;0;0;0;
46243;1;SAO PAULO;0;0;0;434;447;479;0;0;0;
924751;1;SAO PAULO;0;0;0;0;811;0;0;0;941;
924763;1;SAO PAULO;0;0;0;0;94;350;0;0;172;
383;1;SAO PAULO;0;1;0;0;571;528;0;0;0;
656;1;SAO PAULO;0;0;0;0;274;0;0;0;0;
681;1;SAO PAULO;0;12;0;319;247;0;0;0;0;
711;1;SAO PAULO;0;0;0;0;232;168;0;0;128;
3670;1;SAO PAULO;0;0;0;0;664;528;0;0;0;
3712;1;SAO PAULO;0;0;0;571;661;0;0;0;0;
70981;1;SAO PAULO;0;0;0;0;0;0;0;0;0;
431874;1;SAO PAULO;0;0;0;0;0;0;0;0;0;
586171;1;SAO PAULO;0;0;0;0;1;0;0;0;0;
863;1;SAO PAULO;0;31;0;595;0;0;0;0;0;
1065;1;SAO PAULO;0;14;0;757;0;0;0;0;0;
1168;1;SAO PAULO;0;7;0;0;405;391;0;0;0;
37771;1;SAO PAULO;0;19;0;435;0;0;0;0;0;
906141;1;SAO PAULO;0;3;0;491;265;133;0;0;0;
916729;1;SAO PAULO;0;22;0;0;543;371;0;0;133;
918748;1;SAO PAULO;0;0;0;659;0;0;0;0;0;
985016;1;SAO PAULO;0;0;0;0;0;0;0;0;0;
2112;1;SAO PAULO;0;0;0;0;776;0;0;0;237;
24;1;SAO PAULO;0;0;0;514;468;801;0;0;299;
73;1;SAO PAULO;0;0;0;451;0;0;0;0;0;
85;1;SAO PAULO;0;22;0;570;0;0;0;0;0;
176;1;SAO PAULO;0;67;0;0;338;542;0;0;230;
267;1;SAO PAULO;0;0;0;0;345;783;0;0;0;
361;1;SAO PAULO;0;17;0;706;0;0;0;0;0;
553;1;SAO PAULO;0;0;0;0;884;886;0;0;0;
48598;1;SAO PAULO;0;5;0;574;0;0;0;0;0;
130321;1;SAO PAULO;0;0;0;309;270;262;0;0;0;
559210;1;SAO PAULO;0;0;0;101;43;27;0;0;23;
901672;1;SAO PAULO;0;0;0;423;0;0;0;0;0;
923624;1;SAO PAULO;0;13;0;0;502;349;0;0;88;
498;1;SAO PAULO;0;0;0;0;230;366;0;0;100;
784;1;SAO PAULO;0;0;0;269;205;0;0;0;0;
899;1;SAO PAULO;0;9;0;333;0;0;0;0;0;
917;1;SAO PAULO;0;10;0;0;336;298;0;0;153;
1454;1;SAO PAULO;0;0;0;0;540;278;0;0;0;
3414;1;SAO PAULO;0;0;0;789;0;0;0;0;0;
3621;1;SAO PAULO;0;11;0;1172;0;0;0;0;0;
37746;1;SAO PAULO;0;0;0;453;0;0;0;0;0;
37758;1;SAO PAULO;0;1;0;504;0;0;0;0;0;
1284;1;SAO PAULO;0;3;0;0;263;338;0;0;0;
48616;1;SAO PAULO;0;34;0;0;661;402;0;0;0;
904272;1;SAO PAULO;0;1;0;274;0;0;0;0;0;
911537;1;SAO PAULO;0;23;0;360;246;139;0;0;128;
913820;1;SAO PAULO;0;5;0;0;0;283;0;0;0;
673;1;SAO PAULO;0;0;0;0;577;688;0;0;0;
61;1;SAO PAULO;0;11;0;857;0;0;0;0;0;
224;1;SAO PAULO;0;0;0;0;421;764;0;0;185;
37692;1;SAO PAULO;0;0;0;0;172;193;0;0;0;
37722;1;SAO PAULO;0;0;0;778;0;0;0;0;0;
479500;1;SAO PAULO;0;0;0;135;475;0;0;0;0;
910302;1;SAO PAULO;0;11;0;0;898;725;0;0;0;
926103;1;SAO PAULO;0;0;0;462;0;0;0;0;0;
528;1;SAO PAULO;0;0;0;0;251;394;0;0;0;
985;1;SAO PAULO;0;0;0;601;0;0;0;0;0;
1478;1;SAO PAULO;0;0;0;536;545;0;0;0;0;
1659;1;SAO PAULO;0;0;0;0;559;555;0;0;66;
3487;1;SAO PAULO;0;0;0;528;0;0;0;0;0;
38124;1;SAO PAULO;0;0;0;411;331;0;0;0;0;
425;1;SAO PAULO;0;0;0;772;0;0;0;0;0;
693;1;SAO PAULO;0;0;0;459;334;230;0;0;0;
1036;1;SAO PAULO;0;15;0;0;309;351;0;0;0;
1053;1;SAO PAULO;0;0;0;549;0;0;0;0;0;
1296;1;SAO PAULO;0;0;0;0;417;380;0;0;0;
1302;1;SAO PAULO;0;12;0;0;180;168;0;0;64;
1348;1;SAO PAULO;0;22;0;474;552;190;0;0;0;
1442;1;SAO PAULO;0;13;0;161;232;200;0;0;0;
1508;1;SAO PAULO;0;6;0;416;0;0;0;0;0;
2021;1;SAO PAULO;0;0;0;417;0;0;0;0;0;
