COD_ESC;ZONA;MUN;ED_INFANTIL;CLASSES ESPECIAIS;SALA DE RECURSO;ANOS INICIAIS;ANOS FINAIS;ENSINO M�DIO;EJA FUNDAMENTAL_AI;EJA FUNDAMENTAL_AF;EJA ENSINO MEDIO;
26724;1;PALMARES PAULISTA;0;14;0;0;265;257;0;10;20;
26906;1;MACEDONIA;0;4;0;0;180;96;0;0;0;
27224;1;JALES;0;3;0;0;389;144;0;0;0;
27182;1;PONTALINDA;0;8;0;0;225;100;0;0;0;
30582;1;SUZANAPOLIS;0;5;0;0;192;112;0;0;0;
27133;1;SANTA SALETE;0;4;0;104;119;116;0;4;14;
906116;1;JOSE BONIFACIO;0;43;0;208;237;111;0;0;0;
296235;2;MIRASSOL;0;0;0;0;0;0;0;0;0;
43515;1;SERRA NEGRA;0;0;0;100;0;0;0;0;0;
21222;2;CHARQUEADA;0;6;0;0;160;92;0;0;0;
20862;1;PIRACICABA;0;5;0;0;341;0;0;0;0;
21052;1;PIRACICABA;0;20;0;0;566;309;0;0;0;
48324;1;PIRACICABA;0;8;0;0;390;0;0;0;0;
48331;1;PIRACICABA;0;18;0;0;372;0;0;0;0;
48355;1;PIRACICABA;0;7;0;287;0;0;0;0;0;
496479;1;SAO PEDRO;0;0;0;0;0;191;0;0;0;
901246;1;LEME;0;7;0;0;409;213;0;0;0;
924660;1;LEME;0;0;0;0;411;240;0;0;0;
21465;1;PIRASSUNUNGA;0;8;0;0;254;0;0;0;0;
36336;1;PIRASSUNUNGA;0;11;0;0;289;162;0;0;0;
917928;1;AGUAI;0;0;0;233;0;0;0;0;0;
905495;1;ESPIRITO SANTO DO PINHAL;0;0;0;142;0;0;0;0;0;
576669;1;PAULINIA;0;9;0;0;442;394;0;0;0;
905641;1;SUMARE;0;0;0;0;357;157;0;0;0;
454059;1;SUMARE;0;0;0;0;0;0;7;28;33;
453535;1;HORTOLANDIA;0;0;0;0;0;0;14;78;75;
18065;1;CAMPINAS;0;14;0;499;0;0;0;0;0;
18120;1;CAMPINAS;0;34;0;0;185;215;0;0;0;
914885;1;CAMPINAS;0;0;0;365;0;0;0;0;0;
901167;1;CAPIVARI;0;0;0;0;186;113;0;0;0;
406272;1;MONTE MOR;0;0;0;0;237;170;0;0;0;
914009;1;MONTE MOR;0;0;0;0;290;444;0;0;0;
458173;1;AMERICO BRASILIENSE;0;0;0;0;0;0;0;0;0;
21969;1;ARARAQUARA;0;0;0;523;0;0;0;0;0;
22640;1;PITANGUEIRAS;0;7;0;0;420;413;0;0;0;
22664;1;PITANGUEIRAS;0;5;0;0;150;112;0;0;37;
474678;2;PONTAL;0;0;0;0;0;0;10;24;33;
23553;1;SERTAOZINHO;0;0;0;0;0;195;0;0;0;
26001;1;AGUDOS;0;0;0;0;73;46;0;0;0;
26273;1;BALBINOS;0;0;0;0;73;45;0;0;0;
25410;1;BAURU;0;18;0;451;0;0;0;0;0;
38003;1;BAURU;0;7;0;241;220;0;0;0;0;
457796;2;PIRAJUI;0;0;0;0;0;0;16;95;80;
479305;2;PIRAJUI;0;0;0;0;0;0;25;80;99;
25963;1;IGARACU DO TIETE;0;56;0;0;409;242;0;0;0;
26396;1;GUAIMBE;0;18;0;0;338;193;0;0;0;
449106;1;LINS;0;0;0;0;0;0;0;0;0;
26098;1;PROMISSAO;0;2;0;0;416;0;0;0;0;
26104;1;PROMISSAO;0;58;0;0;314;82;0;0;0;
26670;1;CATANDUVA;0;28;0;0;266;119;0;0;0;
26748;1;CATANDUVA;0;0;0;0;418;433;0;0;0;
65985;1;CATANDUVA;0;0;0;0;424;112;0;21;60;
26585;1;PARAISO;0;0;0;0;0;137;0;11;0;
27900;1;MARAPOAMA;0;10;0;0;156;99;0;0;0;
