COD_ESC;ZONA;MUN;ED_INFANTIL;CLASSES ESPECIAIS;SALA DE RECURSO;ANOS INICIAIS;ANOS FINAIS;ENSINO M�DIO;EJA FUNDAMENTAL_AI;EJA FUNDAMENTAL_AF;EJA ENSINO MEDIO;
279;1;SAO PAULO;0;12;0;990;0;0;0;0;0;
346;1;SAO PAULO;0;0;0;650;0;0;0;0;0;
565;1;SAO PAULO;0;18;0;543;0;0;0;0;0;
644;1;SAO PAULO;0;0;0;308;0;0;0;0;0;
36444;1;SAO PAULO;0;0;0;721;487;410;0;0;0;
36456;1;SAO PAULO;0;0;0;0;399;430;0;0;0;
46243;1;SAO PAULO;0;0;0;433;479;610;0;0;0;
924751;1;SAO PAULO;0;0;0;0;778;0;0;0;1125;
924763;1;SAO PAULO;0;0;0;0;78;653;0;0;223;
383;1;SAO PAULO;0;2;0;0;557;607;0;0;0;
656;1;SAO PAULO;0;0;0;0;269;0;0;0;0;
681;1;SAO PAULO;0;14;0;402;274;0;0;0;0;
711;1;SAO PAULO;0;0;0;0;210;181;0;0;115;
3670;1;SAO PAULO;0;0;0;0;588;667;0;0;71;
3712;1;SAO PAULO;0;0;0;509;603;0;0;0;0;
70981;1;SAO PAULO;0;0;0;0;0;0;0;0;0;
431874;1;SAO PAULO;0;0;0;0;0;0;0;0;0;
863;1;SAO PAULO;0;11;0;533;0;0;0;0;0;
1065;1;SAO PAULO;0;10;0;741;0;0;0;0;0;
1168;1;SAO PAULO;0;2;0;0;347;778;0;0;0;
37771;1;SAO PAULO;0;19;0;412;0;0;0;0;0;
906141;1;SAO PAULO;0;0;0;554;307;147;0;0;0;
916729;1;SAO PAULO;0;20;0;0;587;648;0;0;159;
918748;1;SAO PAULO;0;0;0;730;0;0;0;0;0;
985016;1;SAO PAULO;0;0;0;0;0;0;0;0;0;
2112;1;SAO PAULO;0;0;0;0;704;0;0;0;117;
2318;1;SAO PAULO;0;0;0;0;804;959;0;0;0;
24;1;SAO PAULO;0;0;0;448;528;1019;0;0;353;
73;1;SAO PAULO;0;0;0;409;0;0;0;0;0;
85;1;SAO PAULO;0;10;0;586;0;0;0;0;0;
176;1;SAO PAULO;0;79;0;0;373;373;0;0;0;
267;1;SAO PAULO;0;0;0;0;402;894;0;0;0;
361;1;SAO PAULO;0;14;0;614;0;0;0;0;0;
553;1;SAO PAULO;0;0;0;0;705;560;0;0;0;
48598;1;SAO PAULO;0;5;0;540;0;0;0;0;0;
130321;1;SAO PAULO;0;0;0;286;312;272;0;0;0;
559210;1;SAO PAULO;0;0;0;109;59;37;0;0;0;
901672;1;SAO PAULO;0;0;0;422;0;0;0;0;0;
923624;1;SAO PAULO;0;23;0;0;480;416;0;0;116;
498;1;SAO PAULO;0;0;0;0;244;470;0;0;0;
784;1;SAO PAULO;0;0;0;212;195;0;0;0;0;
899;1;SAO PAULO;0;2;0;320;0;0;0;0;0;
917;1;SAO PAULO;0;6;0;0;251;354;0;0;85;
1454;1;SAO PAULO;0;0;0;0;498;424;0;0;0;
3414;1;SAO PAULO;0;0;0;798;0;0;0;0;0;
3621;1;SAO PAULO;0;10;0;1225;0;0;0;0;0;
37746;1;SAO PAULO;0;0;0;464;0;0;0;0;0;
37758;1;SAO PAULO;0;1;0;522;0;0;0;0;0;
1284;1;SAO PAULO;0;9;0;0;328;482;0;0;0;
48616;1;SAO PAULO;0;38;0;0;604;519;0;0;0;
904272;1;SAO PAULO;0;11;0;325;0;0;0;0;0;
911537;1;SAO PAULO;0;35;0;372;258;159;0;0;80;
913820;1;SAO PAULO;0;13;0;0;0;362;0;0;0;
673;1;SAO PAULO;0;0;0;0;716;916;0;0;0;
139;1;SAO PAULO;0;0;0;0;352;1153;0;0;289;
41683;1;SAO PAULO;0;0;0;619;0;0;0;0;0;
923254;1;SAO PAULO;0;0;0;0;800;1036;0;0;188;
924398;1;SAO PAULO;0;0;0;408;0;290;0;0;0;
985004;1;SAO PAULO;0;0;0;0;0;0;0;0;0;
309;1;SAO PAULO;0;0;0;23;197;216;0;0;0;
437;1;SAO PAULO;0;5;0;624;0;0;0;0;0;
536;1;SAO PAULO;0;0;0;0;396;600;0;0;304;
577;1;SAO PAULO;0;0;0;0;300;0;0;0;0;
848;1;SAO PAULO;0;0;0;0;565;759;0;0;86;
929;1;SAO PAULO;0;0;0;0;0;786;0;0;0;
454734;1;SAO PAULO;0;0;0;0;0;0;15;18;17;
371;1;SAO PAULO;0;0;0;0;369;1268;0;0;0;
1211;1;SAO PAULO;0;7;0;308;0;0;0;0;0;
37783;1;SAO PAULO;0;0;0;0;452;648;0;0;304;
48604;1;SAO PAULO;0;17;0;583;347;0;0;0;0;
579476;1;SAO PAULO;0;0;0;196;0;0;0;0;0;
906797;1;SAO PAULO;0;21;0;373;0;0;0;0;0;
1971;1;SAO PAULO;0;14;0;0;442;1329;0;0;0;
2008;1;SAO PAULO;0;0;0;0;0;739;0;0;0;
2252;1;SAO PAULO;0;0;0;0;0;1462;0;0;0;
428875;1;SAO PAULO;0;0;0;0;0;0;0;0;0;
2835;1;SAO PAULO;0;0;0;0;391;380;0;0;226;
3116;1;SAO PAULO;0;0;0;0;582;501;0;0;0;
36778;1;SAO PAULO;0;0;0;871;0;0;0;0;0;
37345;1;SAO PAULO;0;0;0;0;405;446;0;0;0;
902573;1;SAO PAULO;0;0;0;0;424;603;0;0;0;
97;1;SAO PAULO;0;0;0;0;0;889;0;0;191;
36500;1;SAO PAULO;0;0;0;445;0;0;0;0;0;
37102;1;SAO PAULO;0;0;0;0;0;471;0;0;61;
40460;1;SAO PAULO;0;0;0;467;0;0;0;0;0;
414612;1;SAO PAULO;0;0;0;874;0;0;0;0;0;
457243;1;SAO PAULO;0;0;0;528;639;0;0;0;320;
910296;1;SAO PAULO;0;0;0;829;0;0;0;0;0;
358;1;SAO PAULO;0;5;0;272;292;0;0;0;0;
760;1;SAO PAULO;0;0;0;0;143;454;0;0;0;
1521;1;SAO PAULO;0;0;0;446;373;75;0;0;0;
454382;1;SAO PAULO;0;0;0;0;0;0;36;41;37;
607;1;SAO PAULO;0;0;0;0;610;889;0;0;364;
772;1;SAO PAULO;0;9;0;642;0;0;0;0;0;
1181;1;SAO PAULO;0;29;0;751;0;0;0;0;0;
1223;1;SAO PAULO;0;0;0;416;0;0;0;0;0;
1235;1;SAO PAULO;0;0;0;0;274;338;0;0;196;
37382;1;SAO PAULO;0;17;0;556;479;677;0;0;0;
700;1;SAO PAULO;0;0;0;896;0;0;0;0;0;
