COD_ESC;ZONA;MUN;ED_INFANTIL;CLASSES ESPECIAIS;SALA DE RECURSO;ANOS INICIAIS;ANOS FINAIS;ENSINO M�DIO;EJA FUNDAMENTAL_AI;EJA FUNDAMENTAL_AF;EJA ENSINO MEDIO;
24;1;SAO PAULO;0;0;0;400;520;1268;0;0;421;
73;1;SAO PAULO;0;0;0;327;0;0;0;0;0;
85;1;SAO PAULO;0;11;0;600;0;0;0;0;0;
176;1;SAO PAULO;0;43;0;0;366;277;0;0;0;
267;1;SAO PAULO;0;0;0;0;451;895;0;0;0;
361;1;SAO PAULO;0;30;0;550;0;0;0;0;0;
553;1;SAO PAULO;0;0;0;0;646;531;0;0;0;
48598;1;SAO PAULO;0;8;0;449;0;0;0;0;0;
130321;1;SAO PAULO;0;0;0;293;303;392;0;0;134;
559210;1;SAO PAULO;0;0;0;105;74;34;0;19;5;
901672;1;SAO PAULO;0;0;0;458;0;0;0;0;0;
923624;1;SAO PAULO;0;23;0;0;510;402;0;0;0;
498;1;SAO PAULO;0;0;0;0;272;211;0;0;0;
784;1;SAO PAULO;0;0;0;299;0;0;0;0;0;
899;1;SAO PAULO;0;0;0;299;0;0;0;0;0;
917;1;SAO PAULO;0;2;0;0;149;271;0;0;86;
1454;1;SAO PAULO;0;0;0;0;429;322;0;0;0;
3414;1;SAO PAULO;0;0;0;690;0;0;0;0;0;
3621;1;SAO PAULO;0;13;0;1309;0;0;0;0;0;
37746;1;SAO PAULO;0;0;0;487;0;0;0;0;0;
37758;1;SAO PAULO;0;16;0;490;0;0;0;0;0;
1284;1;SAO PAULO;0;8;0;0;294;129;0;0;0;
48616;1;SAO PAULO;0;32;0;0;522;348;0;0;0;
904272;1;SAO PAULO;0;4;0;325;0;0;0;0;0;
911537;1;SAO PAULO;0;30;0;397;315;209;0;0;101;
913820;1;SAO PAULO;0;7;0;0;0;352;0;0;0;
673;1;SAO PAULO;0;0;0;0;664;676;0;0;0;
279;1;SAO PAULO;0;10;0;935;0;0;0;0;0;
346;1;SAO PAULO;0;0;0;656;0;0;0;0;0;
565;1;SAO PAULO;0;14;0;513;0;0;0;0;0;
644;1;SAO PAULO;0;0;0;305;0;0;0;0;0;
36444;1;SAO PAULO;0;0;0;670;595;337;0;0;0;
36456;1;SAO PAULO;0;0;0;0;399;458;0;0;0;
46243;1;SAO PAULO;0;0;0;430;504;586;0;0;0;
924751;1;SAO PAULO;0;0;0;0;773;0;0;0;598;
924763;1;SAO PAULO;0;0;0;0;212;154;0;0;0;
383;1;SAO PAULO;0;1;0;0;541;577;0;0;0;
656;1;SAO PAULO;0;0;0;0;260;0;0;0;0;
681;1;SAO PAULO;0;10;0;431;330;0;0;0;0;
711;1;SAO PAULO;0;0;0;0;234;154;0;0;0;
3670;1;SAO PAULO;0;0;0;0;608;630;0;0;152;
3712;1;SAO PAULO;0;0;0;541;569;0;0;0;0;
70981;1;SAO PAULO;0;0;0;0;0;0;0;0;0;
431874;1;SAO PAULO;0;0;0;0;0;0;0;0;0;
863;1;SAO PAULO;0;8;0;371;0;0;0;0;0;
1065;1;SAO PAULO;0;12;0;770;0;0;0;0;0;
1168;1;SAO PAULO;0;3;0;0;259;559;0;0;0;
37771;1;SAO PAULO;0;13;0;373;0;0;0;0;0;
906141;1;SAO PAULO;0;11;0;552;342;188;0;0;0;
916729;1;SAO PAULO;0;21;0;0;585;473;0;0;115;
918748;1;SAO PAULO;0;0;0;792;0;0;0;0;0;
985016;1;SAO PAULO;0;0;0;0;0;0;0;0;0;
