COD_ESC;ZONA;MUN;ED_INFANTIL;CLASSES ESPECIAIS;SALA DE RECURSO;ANOS INICIAIS;ANOS FINAIS;ENSINO M�DIO;EJA FUNDAMENTAL_AI;EJA FUNDAMENTAL_AF;EJA ENSINO MEDIO;
12;1;SAO PAULO;0;0;0;0;545;0;0;0;0;
103;1;SAO PAULO;0;0;0;1125;0;0;0;0;0;
255;1;SAO PAULO;0;0;0;0;294;107;0;0;0;
72503;1;SAO PAULO;0;0;0;0;431;176;0;0;0;
269359;1;SAO PAULO;0;0;0;0;307;700;0;0;34;
290543;1;SAO PAULO;0;0;0;311;354;457;0;0;74;
904260;1;SAO PAULO;0;0;0;509;0;0;0;0;0;
924386;1;SAO PAULO;0;0;0;607;0;0;0;0;0;
559337;1;SAO PAULO;0;0;0;0;0;0;0;0;0;
504;1;SAO PAULO;0;24;0;825;0;0;0;0;0;
1363;1;SAO PAULO;0;0;0;0;0;210;0;0;0;
1570;1;SAO PAULO;0;12;0;461;583;496;0;0;0;
3852;1;SAO PAULO;0;0;0;0;281;254;0;0;0;
1041;1;SAO PAULO;0;11;0;0;262;175;0;0;0;
1259;1;SAO PAULO;0;0;0;0;274;188;0;0;0;
796;1;SAO PAULO;0;0;0;0;451;725;0;0;119;
1880;1;SAO PAULO;0;0;0;0;572;932;0;0;157;
2045;1;SAO PAULO;0;14;0;380;0;0;0;0;0;
2100;1;SAO PAULO;0;0;0;541;0;0;0;0;0;
2173;1;SAO PAULO;0;0;0;0;581;655;0;0;0;
414281;1;SAO PAULO;0;0;0;0;0;0;0;0;0;
2562;1;SAO PAULO;0;0;0;0;390;0;0;0;0;
2773;1;SAO PAULO;0;0;0;0;803;746;0;0;0;
3220;1;SAO PAULO;0;0;0;0;817;1248;0;0;0;
39366;1;SAO PAULO;0;0;0;0;408;407;0;0;0;
909038;1;SAO PAULO;0;0;0;570;0;0;0;0;0;
915671;1;SAO PAULO;0;0;0;0;396;347;0;0;0;
61;1;SAO PAULO;0;14;0;896;0;0;0;0;0;
