COD_ESC;ZONA;MUN;ED_INFANTIL;CLASSES ESPECIAIS;SALA DE RECURSO;ANOS INICIAIS;ANOS FINAIS;ENSINO M�DIO;EJA FUNDAMENTAL_AI;EJA FUNDAMENTAL_AF;EJA ENSINO MEDIO;
437736;1;GUARULHOS;0;0;0;0;76;386;0;0;0;
465872;1;GUARULHOS;0;0;0;0;0;0;21;19;0;
465914;1;GUARULHOS;0;0;0;0;0;0;36;44;0;
6816;1;MOGI DAS CRUZES;0;8;0;0;315;152;0;0;0;
35543;1;MOGI DAS CRUZES;0;3;0;0;750;354;0;0;0;
906335;1;MOGI DAS CRUZES;0;9;0;0;377;0;0;0;0;
46197;1;SUZANO;0;0;0;0;463;386;0;0;0;
352603;1;SUZANO;0;23;0;0;430;320;0;0;0;
906293;1;SUZANO;0;0;0;384;436;0;0;0;0;
910181;1;ITAQUAQUECETUBA;0;6;0;0;476;502;0;0;0;
338059;1;ITAQUAQUECETUBA;0;0;0;0;0;0;0;0;0;
7328;1;POA;0;3;0;0;107;193;0;49;217;
46188;1;POA;0;0;0;0;210;137;0;0;112;
913418;1;POA;0;6;0;0;185;193;0;0;0;
7336;1;DIADEMA;0;0;0;704;0;0;0;0;337;
7648;1;MAUA;0;0;0;151;113;83;0;0;0;
912384;1;MAUA;0;0;0;338;638;286;0;0;0;
7638;1;RIBEIRAO PIRES;0;0;0;0;297;318;0;0;78;
7973;1;RIBEIRAO PIRES;0;0;0;240;0;0;0;0;0;
48951;1;RIO GRANDE DA SERRA;0;16;0;142;150;66;0;0;0;
8321;1;SANTO ANDRE;0;0;0;262;450;271;0;0;0;
8369;1;SANTO ANDRE;0;40;0;220;532;296;0;0;103;
8424;1;SANTO ANDRE;0;10;0;449;480;222;0;0;184;
8624;1;SANTO ANDRE;0;0;0;435;0;0;0;0;0;
8631;1;SANTO ANDRE;0;0;0;358;0;0;0;0;0;
910867;1;SANTO ANDRE;0;0;0;0;408;0;0;0;0;
8801;1;SAO BERNARDO DO CAMPO;0;0;0;0;937;591;0;0;0;
38118;1;SAO PAULO;0;0;0;950;0;0;0;0;227;
909191;1;SAO PAULO;0;0;0;0;317;223;0;0;0;
923515;1;SAO PAULO;0;0;0;1234;0;0;0;0;0;
925196;1;SAO PAULO;0;0;0;0;357;557;0;0;0;
925385;1;SAO PAULO;0;1;0;287;0;0;0;0;0;
925391;1;SAO PAULO;0;15;0;0;405;452;0;0;0;
447663;1;SAO PAULO;0;0;0;0;510;662;0;0;0;
914712;1;SAO PAULO;0;0;0;615;257;0;0;0;0;
3839;1;SAO PAULO;0;0;0;0;104;119;0;0;0;
3967;1;SAO PAULO;0;0;0;0;630;0;0;0;0;
4066;1;SAO PAULO;0;0;0;0;296;245;0;0;91;
4078;1;SAO PAULO;0;12;0;414;0;0;0;0;0;
37597;1;SAO PAULO;0;0;0;631;0;0;0;0;0;
38131;1;SAO PAULO;0;0;0;279;327;0;0;0;0;
985132;1;SAO PAULO;0;0;0;0;0;0;0;0;0;
5186;1;SAO PAULO;0;16;0;0;504;510;0;0;0;
5265;1;SAO PAULO;0;0;0;0;585;872;0;0;233;
35592;1;SAO PAULO;0;0;0;465;380;193;0;0;0;
36274;1;SAO PAULO;0;20;0;442;475;269;0;0;177;
37400;1;SAO PAULO;0;0;0;833;0;0;0;0;0;
38246;1;SAO PAULO;0;0;0;601;0;0;0;0;0;
41002;1;SAO PAULO;0;0;0;56;629;485;0;0;308;
41749;1;SAO PAULO;0;0;0;637;0;0;0;0;0;
48744;1;SAO PAULO;0;0;0;0;1172;675;0;0;0;
438054;1;SAO PAULO;0;18;0;820;0;0;0;0;0;
925238;1;SAO PAULO;0;0;0;528;0;0;0;0;0;
1824;1;SAO PAULO;0;0;0;0;140;366;0;0;0;
923333;1;JANDIRA;0;0;0;0;486;443;0;240;389;
10741;1;OSASCO;0;7;0;0;384;262;0;0;0;
10789;1;OSASCO;0;13;0;0;660;636;0;0;0;
294603;1;OSASCO;0;11;0;0;672;425;0;0;0;
904740;1;OSASCO;0;0;0;0;971;503;0;0;96;
36419;1;EMBU DAS ARTES;0;0;0;169;135;106;0;0;0;
919056;1;EMBU DAS ARTES;0;0;0;0;432;350;0;0;0;
10236;1;TABOAO DA SERRA;0;0;0;0;449;286;0;0;0;
10261;1;TABOAO DA SERRA;0;19;0;0;1042;551;0;0;0;
42067;1;TABOAO DA SERRA;0;0;0;0;484;230;0;0;0;
906426;1;TABOAO DA SERRA;0;13;0;0;664;486;0;0;45;
906438;1;TABOAO DA SERRA;0;0;0;0;653;529;0;0;147;
903073;1;GUARUJA;0;0;0;0;251;463;0;0;0;
193124;1;GUARUJA;0;0;0;0;0;0;0;0;0;
523636;1;GUARUJA;0;0;0;14;0;0;0;0;0;
11770;1;SANTOS;0;0;0;0;464;371;0;0;0;
11782;1;SANTOS;0;0;0;0;301;0;0;0;0;
11812;1;SANTOS;0;0;0;0;520;543;0;0;0;
11824;1;SANTOS;0;0;0;0;254;1404;0;0;0;
11952;1;ITANHAEM;0;9;0;0;154;549;0;0;0;
559097;1;MONGAGUA;0;0;0;21;18;0;0;0;0;
443980;1;MONGAGUA;0;0;0;0;0;0;0;0;0;
