COD_ESC;ZONA;MUN;ED_INFANTIL;CLASSES ESPECIAIS;SALA DE RECURSO;ANOS INICIAIS;ANOS FINAIS;ENSINO M�DIO;EJA FUNDAMENTAL_AI;EJA FUNDAMENTAL_AF;EJA ENSINO MEDIO;
24;1;SAO PAULO;0;0;0;388;528;997;0;0;339;
73;1;SAO PAULO;0;0;0;321;0;0;0;0;0;
85;1;SAO PAULO;0;12;0;598;0;0;0;0;0;
176;1;SAO PAULO;0;54;0;0;392;247;0;0;0;
267;1;SAO PAULO;0;0;0;0;381;845;0;0;0;
361;1;SAO PAULO;0;23;0;558;0;0;0;0;0;
553;1;SAO PAULO;0;0;0;0;701;486;0;0;0;
48598;1;SAO PAULO;0;8;0;473;0;0;0;0;0;
130321;1;SAO PAULO;0;0;0;257;295;333;0;0;150;
559210;1;SAO PAULO;0;0;0;98;59;37;0;24;11;
901672;1;SAO PAULO;0;0;0;423;0;0;0;0;0;
923624;1;SAO PAULO;0;23;0;0;502;416;0;0;0;
498;1;SAO PAULO;0;0;0;0;234;398;0;0;0;
784;1;SAO PAULO;0;0;0;277;0;0;0;0;0;
899;1;SAO PAULO;0;0;0;293;0;0;0;0;0;
917;1;SAO PAULO;0;6;0;0;180;254;0;0;68;
1454;1;SAO PAULO;0;0;0;0;407;327;0;0;0;
3414;1;SAO PAULO;0;0;0;786;0;0;0;0;0;
3621;1;SAO PAULO;0;16;0;1289;0;0;0;0;0;
37746;1;SAO PAULO;0;0;0;476;0;0;0;0;0;
37758;1;SAO PAULO;0;9;0;486;0;0;0;0;0;
1284;1;SAO PAULO;0;7;0;0;267;157;0;0;0;
48616;1;SAO PAULO;0;37;0;0;527;305;0;0;0;
904272;1;SAO PAULO;0;7;0;329;0;0;0;0;0;
911537;1;SAO PAULO;0;39;0;371;262;191;0;0;46;
913820;1;SAO PAULO;0;12;0;0;0;325;0;0;0;
673;1;SAO PAULO;0;0;0;0;651;720;0;0;0;
279;1;SAO PAULO;0;6;0;962;0;0;0;0;0;
346;1;SAO PAULO;0;0;0;662;0;0;0;0;0;
565;1;SAO PAULO;0;22;0;543;0;0;0;0;0;
644;1;SAO PAULO;0;0;0;328;0;0;0;0;0;
36444;1;SAO PAULO;0;0;0;672;469;327;0;0;0;
36456;1;SAO PAULO;0;0;0;0;406;472;0;0;0;
46243;1;SAO PAULO;0;0;0;439;503;613;0;0;0;
924751;1;SAO PAULO;0;0;0;0;703;0;0;0;599;
924763;1;SAO PAULO;0;0;0;0;151;209;0;0;0;
383;1;SAO PAULO;0;1;0;0;554;522;0;0;0;
656;1;SAO PAULO;0;0;0;0;262;0;0;0;0;
681;1;SAO PAULO;0;12;0;404;269;0;0;0;0;
711;1;SAO PAULO;0;0;0;0;189;131;0;0;0;
3670;1;SAO PAULO;0;0;0;0;600;685;0;0;179;
3712;1;SAO PAULO;0;0;0;522;540;0;0;0;0;
70981;1;SAO PAULO;0;0;0;0;0;0;0;0;0;
431874;1;SAO PAULO;0;0;0;0;0;0;0;0;0;
863;1;SAO PAULO;0;4;0;409;0;0;0;0;0;
1065;1;SAO PAULO;0;12;0;714;0;0;0;0;0;
1168;1;SAO PAULO;0;4;0;0;253;561;0;0;0;
37771;1;SAO PAULO;0;9;0;400;0;0;0;0;0;
906141;1;SAO PAULO;0;0;0;502;291;152;0;0;0;
916729;1;SAO PAULO;0;31;0;0;613;640;0;0;86;
918748;1;SAO PAULO;0;0;0;780;0;0;0;0;0;
985016;1;SAO PAULO;0;0;0;0;0;0;0;0;0;
2112;1;SAO PAULO;0;0;0;0;580;0;0;0;0;
2318;1;SAO PAULO;0;0;0;0;766;930;0;0;0;
97;1;SAO PAULO;0;0;0;0;0;306;0;0;0;
36500;1;SAO PAULO;0;0;0;386;0;0;0;0;0;
37102;1;SAO PAULO;0;0;0;0;0;534;0;0;115;
40460;1;SAO PAULO;0;0;0;459;0;0;0;0;0;
414612;1;SAO PAULO;0;0;0;831;0;0;0;0;0;
457243;1;SAO PAULO;0;0;0;543;583;0;0;0;222;
910296;1;SAO PAULO;0;0;0;866;0;0;0;0;0;
358;1;SAO PAULO;0;6;0;291;249;0;0;0;0;
760;1;SAO PAULO;0;0;0;0;278;388;0;0;0;
1521;1;SAO PAULO;0;0;0;488;367;0;0;0;0;
454382;1;SAO PAULO;0;0;0;0;0;0;27;48;62;
607;1;SAO PAULO;0;0;0;0;550;797;0;0;338;
772;1;SAO PAULO;0;6;0;622;0;0;0;0;0;
1181;1;SAO PAULO;0;35;0;777;0;0;0;0;0;
1223;1;SAO PAULO;0;8;0;448;0;0;0;0;0;
1235;1;SAO PAULO;0;0;0;0;209;306;0;0;98;
37382;1;SAO PAULO;0;14;0;525;448;607;0;0;0;
700;1;SAO PAULO;0;0;0;815;0;0;0;0;0;
1491;1;SAO PAULO;0;10;0;0;373;0;0;0;0;
1703;1;SAO PAULO;0;0;0;0;0;1570;0;0;112;
1910;1;SAO PAULO;0;0;0;0;98;78;0;0;0;
2161;1;SAO PAULO;0;0;0;0;266;233;0;0;0;
2197;1;SAO PAULO;0;0;0;0;482;579;0;0;0;
2297;1;SAO PAULO;0;0;0;0;269;591;0;0;184;
36973;1;SAO PAULO;0;0;0;0;209;301;0;0;0;
39100;1;SAO PAULO;0;0;0;365;0;0;0;0;0;
2410;1;SAO PAULO;0;14;0;615;0;0;0;0;0;
61;1;SAO PAULO;0;14;0;888;0;0;0;0;0;
224;1;SAO PAULO;0;0;0;0;387;910;0;0;104;
37692;1;SAO PAULO;0;0;0;0;292;220;0;0;0;
37722;1;SAO PAULO;0;0;0;791;0;0;0;0;0;
479500;1;SAO PAULO;0;0;0;0;367;91;0;0;0;
910302;1;SAO PAULO;0;13;0;0;688;876;0;0;0;
926103;1;SAO PAULO;0;0;0;406;0;0;0;0;0;
528;1;SAO PAULO;0;0;0;0;333;491;0;0;0;
985;1;SAO PAULO;0;0;0;576;0;0;0;0;0;
1478;1;SAO PAULO;0;0;0;532;576;0;0;0;0;
1659;1;SAO PAULO;0;0;0;0;566;576;0;0;0;
3487;1;SAO PAULO;0;0;0;538;0;0;0;0;0;
38124;1;SAO PAULO;0;0;0;397;430;0;0;0;0;
425;1;SAO PAULO;0;0;0;760;0;0;0;0;0;
693;1;SAO PAULO;0;0;0;519;343;214;0;0;0;
1036;1;SAO PAULO;0;10;0;0;274;162;0;0;0;
1053;1;SAO PAULO;0;0;0;553;0;0;0;0;0;
1296;1;SAO PAULO;0;0;0;0;453;506;0;0;0;
1302;1;SAO PAULO;0;16;0;55;218;224;0;0;0;
1348;1;SAO PAULO;0;22;0;556;435;248;0;0;0;
1442;1;SAO PAULO;0;14;0;190;174;277;0;0;0;
1508;1;SAO PAULO;0;4;0;414;0;0;0;0;0;
2021;1;SAO PAULO;0;0;0;407;0;0;0;0;0;
2239;1;SAO PAULO;0;0;0;0;200;50;0;0;0;
37369;1;SAO PAULO;0;1;0;561;0;0;0;0;0;
38106;1;SAO PAULO;0;0;0;659;0;0;0;0;0;
414396;1;SAO PAULO;0;0;0;0;0;0;0;0;0;
188;1;SAO PAULO;0;0;0;0;414;446;0;0;0;
395;1;SAO PAULO;0;0;0;0;312;623;0;0;160;
401;1;SAO PAULO;0;0;0;0;370;629;0;0;0;
413;1;SAO PAULO;0;0;0;0;330;132;0;0;0;
37667;1;SAO PAULO;0;0;0;490;0;0;0;0;0;
37679;1;SAO PAULO;0;0;0;0;475;343;0;0;0;
39342;1;SAO PAULO;0;0;0;168;75;72;0;0;0;
46255;1;SAO PAULO;0;0;0;758;0;0;0;0;81;
923618;1;SAO PAULO;0;0;0;1015;0;0;0;0;0;
3499;1;SAO PAULO;0;0;0;0;0;332;0;0;0;
3566;1;SAO PAULO;0;0;0;0;141;65;0;0;0;
735;1;SAO PAULO;0;15;0;0;294;689;0;0;131;
1077;1;SAO PAULO;0;9;0;1063;0;0;0;0;0;
1326;1;SAO PAULO;0;23;0;0;433;464;0;0;118;
1338;1;SAO PAULO;0;7;0;622;0;0;0;0;0;
46036;1;SAO PAULO;0;1;0;299;0;0;0;0;0;
915658;1;SAO PAULO;0;12;0;351;342;0;0;0;0;
747;1;SAO PAULO;0;0;0;0;284;480;0;0;0;
1582;1;SAO PAULO;0;12;0;840;0;0;0;0;0;
1867;1;SAO PAULO;0;0;0;317;296;464;0;0;0;
1934;1;SAO PAULO;0;0;0;0;265;347;0;0;0;
2136;1;SAO PAULO;0;12;0;0;251;154;0;0;0;
2227;1;SAO PAULO;0;0;0;0;423;0;0;0;0;
4450;1;SAO PAULO;0;0;0;0;0;0;2;5;7;
4451;1;SAO PAULO;0;0;0;0;0;0;26;51;29;
3190;1;SAO PAULO;0;0;0;560;0;0;0;0;0;
12;1;SAO PAULO;0;0;0;0;537;0;0;0;0;
103;1;SAO PAULO;0;0;0;1088;0;0;0;0;0;
255;1;SAO PAULO;0;0;0;0;291;99;0;0;0;
72503;1;SAO PAULO;0;0;0;0;432;150;0;0;0;
269359;1;SAO PAULO;0;0;0;0;286;570;0;0;13;
290543;1;SAO PAULO;0;0;0;295;351;462;0;0;78;
