COD_ESC;ZONA;MUN;ED_INFANTIL;CLASSES ESPECIAIS;SALA DE RECURSO;ANOS INICIAIS;ANOS FINAIS;ENSINO M�DIO;EJA FUNDAMENTAL_AI;EJA FUNDAMENTAL_AF;EJA ENSINO MEDIO;
279;1;SAO PAULO;0;14;0;1067;0;0;0;0;0;
346;1;SAO PAULO;0;0;0;647;0;0;0;0;0;
565;1;SAO PAULO;0;17;0;484;0;0;0;0;0;
644;1;SAO PAULO;0;0;0;264;0;0;0;0;0;
36444;1;SAO PAULO;0;0;0;722;456;380;0;0;0;
36456;1;SAO PAULO;0;0;0;0;367;360;0;0;0;
46243;1;SAO PAULO;0;0;0;443;450;473;0;0;0;
924751;1;SAO PAULO;0;0;0;0;833;0;0;0;841;
924763;1;SAO PAULO;0;0;0;0;109;438;0;0;382;
383;1;SAO PAULO;0;1;0;0;576;574;0;0;0;
656;1;SAO PAULO;0;0;0;0;277;0;0;0;0;
681;1;SAO PAULO;0;4;0;329;256;0;0;0;0;
711;1;SAO PAULO;0;0;0;0;247;189;0;0;143;
3670;1;SAO PAULO;0;0;0;0;664;548;0;0;0;
3712;1;SAO PAULO;0;0;0;582;686;0;0;0;0;
70981;1;SAO PAULO;0;0;0;0;0;0;0;0;0;
431874;1;SAO PAULO;0;0;0;0;0;0;0;0;0;
863;1;SAO PAULO;0;31;0;600;0;0;0;0;0;
1065;1;SAO PAULO;0;16;0;770;0;0;0;0;0;
1168;1;SAO PAULO;0;8;0;0;419;426;0;0;0;
37771;1;SAO PAULO;0;19;0;443;0;0;0;0;0;
906141;1;SAO PAULO;0;4;0;526;302;139;0;0;0;
916729;1;SAO PAULO;0;22;0;0;581;421;0;0;144;
918748;1;SAO PAULO;0;0;0;682;0;0;0;0;0;
985016;1;SAO PAULO;0;0;0;0;0;0;0;0;0;
2112;1;SAO PAULO;0;0;0;0;781;0;0;0;203;
2318;1;SAO PAULO;0;0;0;0;755;803;0;0;0;
24;1;SAO PAULO;0;0;0;515;488;917;0;0;460;
73;1;SAO PAULO;0;0;0;457;0;0;0;0;0;
85;1;SAO PAULO;0;22;0;564;0;0;0;0;0;
176;1;SAO PAULO;0;67;0;0;354;571;0;0;296;
267;1;SAO PAULO;0;0;0;0;342;805;0;0;0;
361;1;SAO PAULO;0;13;0;713;0;0;0;0;0;
553;1;SAO PAULO;0;0;0;0;885;906;0;0;0;
48598;1;SAO PAULO;0;7;0;579;0;0;0;0;0;
