COD_ESC;ZONA;MUN;ED_INFANTIL;CLASSES ESPECIAIS;SALA DE RECURSO;ANOS INICIAIS;ANOS FINAIS;ENSINO M�DIO;EJA FUNDAMENTAL_AI;EJA FUNDAMENTAL_AF;EJA ENSINO MEDIO;
24;1;SAO PAULO;0;0;0;453;495;777;0;0;298;
73;1;SAO PAULO;0;0;0;415;0;0;0;0;0;
85;1;SAO PAULO;0;16;0;551;0;0;0;0;0;
176;1;SAO PAULO;0;85;0;0;379;468;0;0;222;
267;1;SAO PAULO;0;0;0;0;361;801;0;0;0;
361;1;SAO PAULO;0;16;0;625;0;0;0;0;0;
553;1;SAO PAULO;0;0;0;0;899;803;0;0;0;
48598;1;SAO PAULO;0;5;0;561;0;0;0;0;0;
130321;1;SAO PAULO;0;0;0;269;287;205;0;0;0;
559210;1;SAO PAULO;0;0;0;110;57;28;0;0;13;
901672;1;SAO PAULO;0;0;0;423;0;0;0;0;0;
923624;1;SAO PAULO;0;14;0;0;452;379;0;0;102;
498;1;SAO PAULO;0;0;0;0;214;365;0;0;0;
784;1;SAO PAULO;0;0;0;228;225;0;0;0;0;
899;1;SAO PAULO;0;9;0;313;0;0;0;0;0;
917;1;SAO PAULO;0;6;0;0;298;325;0;0;74;
1454;1;SAO PAULO;0;0;0;0;567;326;0;0;0;
3414;1;SAO PAULO;0;0;0;772;0;0;0;0;0;
3621;1;SAO PAULO;0;7;0;1210;0;0;0;0;0;
37746;1;SAO PAULO;0;0;0;457;0;0;0;0;0;
37758;1;SAO PAULO;0;2;0;521;0;0;0;0;0;
1284;1;SAO PAULO;0;8;0;0;293;460;0;0;0;
48616;1;SAO PAULO;0;37;0;0;622;432;0;0;0;
904272;1;SAO PAULO;0;12;0;325;0;0;0;0;0;
911537;1;SAO PAULO;0;21;0;371;236;148;0;0;113;
913820;1;SAO PAULO;0;7;0;0;0;340;0;0;0;
673;1;SAO PAULO;0;0;0;0;672;729;0;0;0;
279;1;SAO PAULO;0;7;0;1052;0;0;0;0;0;
346;1;SAO PAULO;0;0;0;616;0;0;0;0;0;
565;1;SAO PAULO;0;14;0;520;0;0;0;0;0;
644;1;SAO PAULO;0;0;0;294;0;0;0;0;0;
36444;1;SAO PAULO;0;0;0;685;447;346;0;0;0;
36456;1;SAO PAULO;0;0;0;0;388;349;0;0;0;
46243;1;SAO PAULO;0;0;0;439;487;546;0;0;0;
924751;1;SAO PAULO;0;0;0;0;788;0;0;0;900;
924763;1;SAO PAULO;0;0;0;0;74;523;0;0;242;
383;1;SAO PAULO;0;1;0;0;567;567;0;0;0;
656;1;SAO PAULO;0;0;0;0;267;0;0;0;0;
681;1;SAO PAULO;0;11;0;362;274;0;0;0;0;
711;1;SAO PAULO;0;0;0;0;207;198;0;0;131;
3670;1;SAO PAULO;0;0;0;0;662;617;0;0;0;
3712;1;SAO PAULO;0;0;0;553;654;0;0;0;0;
70981;1;SAO PAULO;0;0;0;0;0;0;0;0;0;
431874;1;SAO PAULO;0;0;0;0;0;0;0;0;0;
863;1;SAO PAULO;0;20;0;597;0;0;0;0;0;
1065;1;SAO PAULO;0;14;0;759;0;0;0;0;0;
1168;1;SAO PAULO;0;6;0;0;409;537;0;0;0;
37771;1;SAO PAULO;0;20;0;398;0;0;0;0;0;
906141;1;SAO PAULO;0;0;0;510;265;114;0;0;0;
